rank,champion,entropy,expected_remaining,gender,positions,species,resource,range_type,regions,release_year
1,Talon,6.2333895923353815,2.9186046511627906,Male,"[""Jungle"", ""Middle""]","[""Human""]",Mana,"[""Melee""]","[""Noxus""]",2011
2,Riven,6.157978947722668,3.2325581395348837,Female,"[""Top""]","[""Human""]",Manaless,"[""Melee""]","[""Ionia"", ""Noxus""]",2011
3,Xin Zhao,6.142635868646797,3.244186046511628,Male,"[""Jungle""]","[""Human""]",Mana,"[""Melee""]","[""Demacia"", ""Ionia"", ""Noxus""]",2010
4,Cassiopeia,6.136521101496596,3.2674418604651163,Female,"[""Middle"", ""Top""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Noxus"", ""Shurima""]",2010
5,Brand,6.081999475955685,3.2674418604651163,Male,"[""Support""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Freljord"", ""Runeterra""]",2011
6,Darius,6.028440139946542,3.686046511627907,Male,"[""Top""]","[""Human""]",Mana,"[""Melee""]","[""Noxus""]",2012
7,Vi,5.997847077323887,3.4069767441860463,Female,"[""Jungle""]","[""Human""]",Mana,"[""Melee""]","[""Piltover"", ""Zaun""]",2012
8,Syndra,5.995447482272812,4.034883720930233,Female,"[""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Ionia""]",2012
9,Vayne,5.9916392146445965,3.383720930232558,Female,"[""Bottom"", ""Top""]","[""Human""]",Mana,"[""Ranged""]","[""Demacia""]",2011
10,Sona,5.98451942513868,3.5232558139534884,Female,"[""Support""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Demacia"", ""Ionia""]",2010
11,Zed,5.962212505408432,3.7325581395348837,Male,"[""Jungle"", ""Middle""]","[""Human"", ""Magically Altered""]",Energy,"[""Melee""]","[""Ionia""]",2012
12,Ekko,5.958000980331462,3.8372093023255816,Male,"[""Jungle"", ""Middle""]","[""Human""]",Mana,"[""Melee""]","[""Zaun""]",2015
13,Jarvan IV,5.931895021054293,3.941860465116279,Male,"[""Jungle""]","[""Human""]",Mana,"[""Melee""]","[""Demacia""]",2011
14,Graves,5.911826686669507,3.953488372093023,Male,"[""Jungle""]","[""Human""]",Mana,"[""Ranged""]","[""Bilgewater""]",2011
15,Irelia,5.900776442155649,3.616279069767442,Female,"[""Middle"", ""Top""]","[""Human"", ""Spiritualist""]",Mana,"[""Melee""]","[""Ionia""]",2010
16,Vladimir,5.887853078629347,3.8488372093023258,Male,"[""Middle"", ""Top""]","[""Human"", ""Magically Altered""]",Bloodthirst,"[""Ranged""]","[""Camavor"", ""Noxus"", ""Shadow Isles""]",2010
17,Karma,5.887552711780941,3.895348837209302,Female,"[""Support""]","[""Human"", ""Spiritualist""]",Mana,"[""Ranged""]","[""Ionia""]",2011
18,Fiora,5.87917730624069,4.104651162790698,Female,"[""Top""]","[""Human""]",Mana,"[""Melee""]","[""Demacia""]",2012
19,Lux,5.855182761692005,3.813953488372093,Female,"[""Middle"", ""Support""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Demacia""]",2010
20,Yorick,5.84316755053778,4.093023255813954,Male,"[""Top""]","[""Human"", ""Magically Altered""]",Mana,"[""Melee""]","[""Shadow Isles""]",2011
21,Varus,5.839039677708477,3.9302325581395348,Male,"[""Bottom""]","[""Darkin"", ""Human""]",Mana,"[""Ranged""]","[""Ionia"", ""Runeterra"", ""Shurima""]",2012
22,Ivern,5.836314868802411,4.465116279069767,Male,"[""Jungle""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Freljord"", ""Ionia""]",2016
23,Swain,5.835122361279899,4.209302325581396,Male,"[""Support""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Noxus""]",2010
24,Viktor,5.834777093062197,3.9651162790697674,Male,"[""Middle""]","[""Cyborg"", ""Human""]",Mana,"[""Ranged""]","[""Piltover"", ""Zaun""]",2011
25,Akali,5.82433358242531,4.686046511627907,Female,"[""Middle""]","[""Human""]",Energy,"[""Melee""]","[""Ionia""]",2010
26,Yasuo,5.813757610582913,4.406976744186046,Male,"[""Middle"", ""Top""]","[""Human"", ""Magicborn""]",Flow,"[""Melee""]","[""Ionia""]",2013
27,LeBlanc,5.813212189008553,4.511627906976744,Female,"[""Middle""]","[""Human"", ""Magically Altered""]",Mana,"[""Ranged""]","[""Noxus""]",2010
28,Urgot,5.801268844057949,4.4186046511627906,Male,"[""Top""]","[""Chemically Altered"", ""Cyborg"", ""Human""]",Mana,"[""Ranged""]","[""Noxus"", ""Zaun""]",2010
29,Sylas,5.790668267670883,4.1976744186046515,Male,"[""Jungle"", ""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Melee""]","[""Demacia"", ""Freljord""]",2019
30,Draven,5.779754869699401,4.5,Male,"[""Bottom""]","[""Human""]",Mana,"[""Ranged""]","[""Noxus""]",2012
31,Zilean,5.775073641323054,4.290697674418604,Male,"[""Support""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Icathia"", ""Runeterra"", ""Shurima""]",2009
32,Diana,5.757551233342179,4.151162790697675,Female,"[""Jungle"", ""Middle""]","[""Aspect"", ""Human""]",Mana,"[""Melee""]","[""Targon""]",2012
33,Kayn,5.755650316587721,4.127906976744186,Male,"[""Jungle""]","[""Darkin"", ""Human"", ""Magically Altered""]",Mana,"[""Melee""]","[""Ionia"", ""Noxus"", ""Runeterra"", ""Shurima""]",2017
34,Shen,5.746763506134295,4.0813953488372094,Male,"[""Support"", ""Top""]","[""Human"", ""Spiritualist""]",Energy,"[""Melee""]","[""Ionia""]",2010
35,Quinn,5.739071819592826,4.616279069767442,Female,"[""Top""]","[""Human""]",Mana,"[""Ranged""]","[""Demacia""]",2013
36,Malzahar,5.7353714842289065,4.488372093023256,Male,"[""Middle""]","[""Human"", ""Void-Being""]",Mana,"[""Ranged""]","[""Shurima"", ""Void""]",2010
37,Lee Sin,5.720567402063461,4.569767441860465,Male,"[""Jungle""]","[""Human"", ""Spiritualist""]",Energy,"[""Melee""]","[""Ionia""]",2011
38,Taliyah,5.711911691746602,5.209302325581396,Female,"[""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Shurima""]",2016
39,Sejuani,5.690877215758687,4.686046511627907,Female,"[""Jungle""]","[""Human"", ""Iceborn""]",Mana,"[""Melee""]","[""Freljord""]",2012
40,Annie,5.674775266399001,4.488372093023256,Female,"[""Middle""]","[""Human"", ""Magicborn""]",Mana,"[""Ranged""]","[""Noxus"", ""Runeterra""]",2009
41,Caitlyn,5.66292422015758,4.5,Female,"[""Bottom""]","[""Human""]",Mana,"[""Ranged""]","[""Piltover""]",2011
42,Lucian,5.659963014624196,4.953488372093023,Male,"[""Bottom""]","[""Human""]",Mana,"[""Ranged""]","[""Demacia"", ""Shadow Isles""]",2013
43,Lissandra,5.635924443142943,5.034883720930233,Female,"[""Middle""]","[""Human"", ""Iceborn""]",Mana,"[""Ranged""]","[""Freljord""]",2013
44,Garen,5.6188242885015836,5.22093023255814,Male,"[""Top""]","[""Human""]",Manaless,"[""Melee""]","[""Demacia""]",2010
45,Leona,5.61409013945735,4.662790697674419,Female,"[""Support""]","[""Aspect"", ""Human""]",Mana,"[""Melee""]","[""Targon""]",2011
